00FOX,"Ryan goes on offense over Medicare, accuses Obama of treating program like 'piggy bank'",http://www.foxnews.com/politics/2012/08/14/ryan-defends-gop-record-on-medicare-says-party-has-plan-to-save-program/
00NYT,Battle Over Medicare Savings Intensifies Between Obama and Paul Ryan,http://www.nytimes.com/2012/08/15/health/policy/battle-over-medicare-savings-intensifies-between-obama-and-paul-ryan.html
02FOX,"Trump declares emergency on border, eyes $8B for wall as he signs spending package",https://www.foxnews.com/politics/trump-eyes-8b-border-wall-funding-emergency-declaration
02NYT,"Trump Declares a National Emergency, and Provokes a Constitutional Clash",https://www.nytimes.com/2019/02/15/us/politics/national-emergency-trump.html
04FOX,Aide to GOP lawmaker apologizes for Facebook post ripping Obama daughters,http://www.foxnews.com/politics/2014/11/30/aide-to-gop-lawmaker-apologizes-for-facebook-post-ripping-obama-daughters.html
04NYT,"G.O.P. Aide Quits After Ridiculing Obama’s Daughters, Sasha and Malia",https://www.nytimes.com/2014/12/02/us/gop-aide-quits-after-ridiculing-obamas-daughters.html
05FOX,Donald Trump Jr. releases messages with WikiLeaks from before election,http://www.foxnews.com/politics/2017/11/13/donald-trump-jr-releases-messages-with-wikileaks-from-before-election.html
05NYT,Donald Trump Jr. Communicated With WikiLeaks During Campaign,https://mobile.nytimes.com/2017/11/13/us/politics/donald-trump-jr-wikileaks-emails-democrats.html
06FOX,Reid Breaks With Obama Over Proposed Ground Zero Mosque,http://www.foxnews.com/politics/2010/08/16/white-house-says-politics-factor-decision-enter-mosque-debate/
06NYT,G.O.P. Seizes on Mosque Issue Ahead of Elections,https://www.nytimes.com/2010/08/17/us/politics/17mosque.html
07FOX,Adam Schiff urged to step down as chairman by House Intelligence Committee Republicans,https://www.foxnews.com/politics/adam-schiff-urged-to-step-down-by-gop-members-on-house-intelligence-committee
07NYT,Demands for Adam Schiff's Head Highlight Chasm That Only Widened With Mueller's Conclusion,https://www.nytimes.com/2019/03/28/us/politics/adam-schiff-resign.html
08FOX,"In first foreign policy speech, candidate Rubio pushes stronger U.S. leadership",http://www.foxnews.com/politics/2015/05/13/in-first-foreign-policy-speech-candidate-marco-rubio-pushes-stronger-us.html
08NYT,Marco Rubio to Outline His Approach to Foreign Policy,https://www.nytimes.com/politics/first-draft/2015/05/13/marco-rubio-to-outline-his-approach-to-foreign-policy/
09FOX,"Democrats urge Trump to cancel Putin summit, after indictment of Russian intel officers",http://www.foxnews.com/politics/2018/07/13/democrats-urge-trump-to-cancel-putin-summit-after-indictment-russian-intel-officers.html
09NYT,Democrats Say Trump Should Cancel Putin Meeting After Indictments,https://www.nytimes.com/2018/07/13/us/politics/democrats-russia-hacking-indictments.html
12FOX,NRA urges states to allow more armed officers in schools,http://www.foxnews.com/politics/2013/04/02/nra-urges-states-to-allow-more-armed-officers-in-schools/
12NYT,N.R.A. Details Plan for Armed School Guards,http://www.nytimes.com/2013/04/03/us/nra-details-plan-for-armed-school-guards.html
13FOX,Trump holds off reversing ban on elephant trophy imports,http://www.foxnews.com/politics/2017/11/17/trump-holds-off-reversing-ban-on-elephant-trophy-imports.html
13NYT,"For Now, Trump to Keep Ban on Importing Elephant Trophies",https://www.nytimes.com/2017/11/17/us/politics/trump-elephant-trophy-ban.html
14FOX,Holder says he understands mistrust of police as Ferguson protests dwindle,http://www.foxnews.com/politics/2014/08/21/holder-says-understands-mistrust-police-as-ferguson-protests-dwindle/
14NYT,"As Tension Eases on Ferguson's Streets, Focus Turns to Investigation",https://www.nytimes.com/2014/08/21/us/ferguson-missouri-protests.html
15FOX,NJ Gov Chris Christie to Throw His Hat in the Ring for White House Run,http://www.foxnews.com/us/2015/06/30/nj-gov-chris-christie-to-throw-his-hat-in-ring-for-white-house-run.html
15NYT,"Chris Christie Announces Run, Pledging ‘Truth’ About Nation’s Woes",https://www.nytimes.com/2015/07/01/us/politics/chris-christie-presidential-campaign.html
19FOX,White House Asked Bill Clinton to Urge Sestak to Drop Out of Senate Race,http://www.foxnews.com/politics/2010/05/28/white-house-asked-clinton-urge-sestak-drop-senate-race.html
19NYT,White House Used Bill Clinton to Ask Sestak to Drop Out of Race,https://thecaucus.blogs.nytimes.com/2010/05/28/white-house-used-bill-clinton-to-ask-sestak-to-drop-out-of-race/
20FOX,Dem running for Senate in Iowa mocks Grassley as farmer 'who never went to law school',http://www.foxnews.com/politics/2014/03/25/rep-braley-mocks-sen-grassley-as-just-iowa-farmer-who-never-went-to-law-school/
20NYT,Representative Apologizes for Criticizing Iowa Senator,https://www.nytimes.com/2014/03/26/us/politics/representative-apologizes-for-criticizing-iowa-senator.html
22FOX,"Clinton, advisers have lots to say on key trade legislation, except where candidate stands",http://www.foxnews.com/politics/2015/06/14/clinton-stays-mum-on-critical-trade-agreement-adviser-says-waiting-for-final.html
22NYT,Hillary Clinton Urges Obama to Listen to Democrats on Trade Deal,https://www.nytimes.com/politics/first-draft/2015/06/14/hillary-clinton-urges-obama-to-listen-to-democrats-on-trade-deal/
23FOX,Senate intel panel subpoenas two Flynn businesses in Russia probe,http://www.foxnews.com/politics/2017/05/23/senate-intel-panel-subpoenas-two-flynn-businesses-in-russia-probe.html
23NYT,"House Intelligence Committee Will Subpoena Flynn, Schiff Says",https://mobile.nytimes.com/2017/05/24/us/politics/flynn-subpoena-house-intelligence-committee.html
25FOX,"Congress rejects Obama veto of 9/11 bill, in first override of presidency",http://www.foxnews.com/politics/2016/09/29/congress-rejects-obama-veto-911-bill-in-first-override-presidency.html
25NYT,Senate Set to Override Veto on Bill Allowing 9/11 Suits Against Saudi Arabia,https://mobile.nytimes.com/2016/09/29/us/politics/senate-9-11-saudi-arabia.html
27FOX,Trump gets into Twitter feud with former Mexican president,http://www.foxnews.com/politics/2016/08/31/trump-gets-into-twitter-feud-with-former-mexican-president.html
27NYT,"Vicente Fox, Ex-President of Mexico, Scoffs at Donald Trump’s Visit",https://mobile.nytimes.com/2016/09/01/us/politics/vicente-fox-mexico.html
28FOX,Joe Lieberman emerges as Trump's top choice for FBI director,http://www.foxnews.com/politics/2017/05/18/joe-lieberman-emerges-as-trumps-top-choice-for-fbi-director.print.html
28NYT,"Lieberman Is a Finalist for F.B.I. Director, Trump Says",https://mobile.nytimes.com/2017/05/18/us/politics/trump-fbi-director-lieberman.html
29FOX,Trump: Roy Moore will 'step aside' if sexual misconduct allegations are true,http://www.foxnews.com/politics/2017/11/09/trump-roy-moore-will-step-aside-if-sexual-misconduct-allegations-are-true.html
29NYT,Alabama Republicans Defend Roy Moore: ‘It Was 40 Years Ago’,https://mobile.nytimes.com/2017/11/10/us/politics/roy-moore-alabama-republicans.html
30FOX,"IRS official who refused to testify facing more scrutiny over scandal, past",http://www.foxnews.com/politics/2013/05/23/irs-official-who-refused-to-testify-facing-more-scrutiny-over-scandal-past/
30NYT,I.R.S. Official Invokes 5th Amendment at Hearing,http://www.nytimes.com/2013/05/23/us/politics/irs-official-denies-misleading-congress.html
31FOX,Glenn Beck Rips Progressivism at CPAC,http://www.foxnews.com/politics/2010/02/20/beck-encourages-conservatives
31NYT,Beck Wows the CPAC Crowd,https://thecaucus.blogs.nytimes.com/2010/02/20/beck-wows-the-cpac-crowd/
32FOX,"Cruz blames Trump for affair story, hints he wouldn't support him in general election",http://latino.foxnews.com/latino/politics/2016/03/25/cruz-blames-trump-for-affair-report-hints-wouldnt-support-him-in-general/
32NYT,Arguments Get Personal Between Donald Trump and Ted Cruz,https://www.nytimes.com/politics/first-draft/2016/03/25/arguments-get-personal-between-donald-trump-and-ted-cruz/
33FOX,Elizabeth Cheney blasted by older sister over gay-marriage stance,http://www.foxnews.com/politics/2013/09/01/elizabeth-cheney-blasted-by-older-sister-over-gay-marriage-stance/
33NYT,Mary Cheney Criticizes Her Sister on Same-Sex Marriage,https://thecaucus.blogs.nytimes.com/2013/08/31/mary-cheney-criticizes-her-sister-on-same-sex-marriage/
34FOX,Texas Rep. Blake Farenthold resigns from Congress,http://www.foxnews.com/politics/2018/04/06/texas-rep-blake-farenthold-resigns-from-congress.html
34NYT,Texas Congressman Who Settled Harassment Case With Taxpayer Funds Resigns,https://mobile.nytimes.com/2018/04/06/us/politics/farenthold-harassment-case-resigns.html
36FOX,Benghazi committee seeks 'transcribed' interview with Clinton over deleted records,http://www.foxnews.com/politics/2015/03/31/benghazi-committee-requests-clinton-submit-to-interview-about-private-deleted.html
36NYT,House Panel Seeks Private Talk With Hillary Clinton About Email,https://www.nytimes.com/2015/04/01/us/politics/hillary-clinton-email-benghazi-inquiry.html
38FOX,Pelosi wins another term as House Democratic leader; Ryan’s dynamic challenge falls short,http://www.foxnews.com/politics/2016/11/30/house-democrats-set-to-vote-for-leader.html
38NYT,Nancy Pelosi Beats Back House Democratic Leadership Challenge,https://www.nytimes.com/2016/11/30/us/politics/nancy-pelosi-house-democrats-tim-ryan.html
39FOX,Republicans prepare to go nuclear with Gorsuch vote as Dems seek new delay,http://www.foxnews.com/politics/2017/03/22/republicans-prepare-to-go-nuclear-with-gorsuch-vote-as-dems-seek-new-delay.html
39NYT,Democrats Plan to Filibuster to Thwart Gorsuch Nomination,https://www.nytimes.com/2017/03/23/us/politics/democrats-filibuster-neil-gorsuch-nomination.html
45FOX,Suspect arrested in Florida in connection with suspicious packages sent to Democrats,https://www.foxnews.com/us/suspect-arrested-in-florida-in-connection-with-suspicious-packages-sent-to-democrats
45NYT,Pipe Bomb Suspect Arrested in Southern Florida,https://www.nytimes.com/2018/10/26/nyregion/cnn-cory-booker-pipe-bombs-sent.html
46FOX,"Trump calls Flynn treatment 'unfair,' claims Clinton 'lied many times' with impunity",https://www.foxnews.com/politics/trump-calls-flynn-treatment-unfair-claims-clinton-lied-many-times-with-impunity
46NYT,"F.B.I. 'Destroyed' Flynn’s Life for Lying, Trump Says, but 'Nothing Happened' to Clinton",https://www.nytimes.com/2017/12/04/us/politics/fbi-michael-flynn-trump.html
47FOX,Trump says 'too many voices are being destroyed' by social media censorship,http://www.foxnews.com/politics/2018/08/18/trump-says-too-many-voices-are-being-destroyed-by-social-media-censorship.html
47NYT,Trump Accuses Social Media Firms of Discrimination Against Conservatives,https://www.nytimes.com/2018/08/18/us/politics/trump-social-media-conservatives.html
51FOX,"Kathy Griffin apologizes for photo shoot with bloodied Trump mask, says she 'went too far'",http://www.foxnews.com/entertainment/2017/05/30/kathy-griffin-apologizes-for-photo-shoot-with-bloodied-trump-mask-says-went-too-far.html
51NYT,Trump Lashes Out at Kathy Griffin and Democrats,https://mobile.nytimes.com/2017/05/31/us/politics/trump-kathy-griffin-comedian-democrats.html
53FOX,"Huckabee announces 2016 White House bid, with focus on economy and security | Fox News",http://www.foxnews.com/politics/2015/05/05/huckabee-announces-2016-white-house-bid.html
53NYT,Mike Huckabee on the Issues,https://www.nytimes.com/2015/05/06/us/politics/mike-huckabee-on-the-issues.html
55FOX,Former Mexican President Fox to Trump: We won't pay for 'that f***ing wall!',http://latino.foxnews.com/latino/politics/2016/02/25/former-mexican-president-fox-to-trump-wont-pay-for-that-fing-wall/
55NYT,"Vicente Fox and Felipe Calderón, 2 Ex-Presidents of Mexico, Say No Way Country Is Paying for Donald Trump's Wall",https://www.nytimes.com/politics/first-draft/2016/02/25/2-ex-presidents-of-mexico-say-no-way-theyre-paying-for-donald-trumps-wall/
56FOX,Schumer bashed by the left over shutdown-ending deal,http://www.foxnews.com/politics/2018/01/23/schumer-bashed-by-left-over-shutdown-ending-deal.html
56NYT,Senate Democrats’ Vote to End Shutdown Infuriates Some on the Left,https://www.nytimes.com/2018/01/22/us/politics/liberal-activists-democrats-betrayal-shutdown.html
57FOX,Ginsburg under fire from both sides over ‘highly inappropriate’ Trump comments,http://www.foxnews.com/politics/2016/07/13/ginsburg-under-fire-from-both-sides-over-highly-inappropriate-trump-comments.html
57NYT,Donald Trump Rebukes Ruth Bader Ginsburg for Deriding His Candidacy,https://www.nytimes.com/2016/07/13/us/politics/ruth-bader-ginsburg-donald-trump.html
58FOX,Trump’s immigration offer brings sharp reactions from Dems and GOP,https://www.foxnews.com/politics/trumps-immigration-offer-brings-polarized-reactions-from-dems-and-gop.print
58NYT,Trump Offers Temporary Protections for ‘Dreamers’ in Exchange for Wall Funding,https://www.nytimes.com/2019/01/19/us/politics/trump-proposal-daca-wall.html
62FOX,Obama administration defends 2nd mass surveillance project,http://www.foxnews.com/politics/2013/06/07/intelligence-officials-reportedly-mining-data-from-us-internet-companies/
62NYT,White House Plays Down Data Program,http://www.nytimes.com/2013/06/09/us/politics/officials-say-congress-was-fully-briefed-on-surveillance.html
63FOX,Ocasio-Cortez defends Tlaib after impeachment remarks: ‘I got your back’,https://www.foxnews.com/politics/ocasio-cortez-defends-tlaib-after-impeachment-remarks-i-got-your-back.print
63NYT,Rashida Tlaib's Expletive-Laden Cry to Impeach Trump Upends Democrats' Talking Points,https://www.nytimes.com/2019/01/04/us/politics/tlaib-impeach-trump.html
64FOX,"Trump takes on Obama, Clinton over ‘radical Islam’ as candidates condemn terror",http://www.foxnews.com/politics/2016/06/13/trump-takes-on-obama-clinton-over-radical-islam-as-candidates-condemn-terror.html
