Article ID,Website,Headline,URL,Caption,Caption Main Entities,Article Main Entities,Match Rate
00FOX,"Ryan goes on offense over Medicare, accuses Obama of treating program like 'piggy bank'",http://www.foxnews.com/politics/2012/08/14/ryan-defends-gop-record-on-medicare-says-party-has-plan-to-save-program/,Exclusive: Republican vice presidential candidate sits down with Brit Hume for first solo interview since VP announcement,,"['Romney campaign', 'Obama campaign', 'Paul Ryan']",
00NYT,Battle Over Medicare Savings Intensifies Between Obama and Paul Ryan,http://www.nytimes.com/2012/08/15/health/policy/battle-over-medicare-savings-intensifies-between-obama-and-paul-ryan.html,"Representative Paul D. Ryan, at a campaign stop Tuesday in Colorado, says Medicare is “a debate we want to have.”",,"['Romney campaign', 'Obama campaign']",
10FOX,Purpose Behind Congressional Reading of Constitution Questioned After Amendments Are Omitted,http://www.foxnews.com/politics/purpose-behind-congressional-reading-of-constitution-questioned-after-amendments-are-omitted,NONE,,"['U.S. Congress', 'Democratic Lawmakers', 'Republican Lawmakers']",
10NYT,House Reading of Constitution Is Not Without Issues,https://thecaucus.blogs.nytimes.com/2011/01/06/house-reading-of-the-constitution-is-not-without-issues/,NONE,,"['U.S. Congress', 'Democratic Lawmakers', 'Republican Lawmakers']",
11FOX,Trump announces deal to end partial government shutdown,https://www.foxnews.com/politics/trump-to-make-announcement-on-partial-government-shutdown-from-rose-garden,NONE,,['Donald Trump'],
11NYT,Trump Signs Bill Reopening Government for 3 Weeks in Surprise Retreat From Wall,https://www.nytimes.com/2019/01/25/us/politics/trump-shutdown-deal.html,President Trump said he would end the partial government shutdown for three weeks while negotiations over the border wall continue. He also indicated that he was open to declaring a national emergency or shutting down the government again if Republicans and Democrats cannot reach an agreement on wall money by the February deadline.,,['Donald Trump'],
12FOX,NRA urges states to allow more armed officers in schools,http://www.foxnews.com/politics/2013/04/02/nra-urges-states-to-allow-more-armed-officers-in-schools/,"          FILE: Dec. 21, 2012: National Rifle Association CEO Wayne LaPierre pauses as he makes a statement during a news conference in Washington.
          (AP)",,"['Asa Hutchinson', 'National Rifle Association']",
12NYT,N.R.A. Details Plan for Armed School Guards,http://www.nytimes.com/2013/04/03/us/nra-details-plan-for-armed-school-guards.html,The Times’s Sheryl Gay Stolberg discusses a new proposal commissioned by the National Rifle Association to place trained guards in American schools.,,"['Asa Hutchinson', 'National Rifle Association']",
13FOX,Trump holds off reversing ban on elephant trophy imports,http://www.foxnews.com/politics/2017/11/17/trump-holds-off-reversing-ban-on-elephant-trophy-imports.html,President tweets that the decision is on hold until conservation facts are reviewed.,,['Donald Trump'],
13NYT,"For Now, Trump to Keep Ban on Importing Elephant Trophies",https://www.nytimes.com/2017/11/17/us/politics/trump-elephant-trophy-ban.html,"An elephant in Zimbabwe in 2012. “Put big game trophy decision on hold until such time as I review all conservation facts,” President Trump tweeted on Friday night.",,['Donald Trump'],
14FOX,Holder says he understands mistrust of police as Ferguson protests dwindle,http://www.foxnews.com/politics/2014/08/21/holder-says-understands-mistrust-police-as-ferguson-protests-dwindle/,Adam Housley reports from Missouri,,"['Eric Holder', 'protestors', 'police']",
14NYT,"As Tension Eases on Ferguson's Streets, Focus Turns to Investigation",https://www.nytimes.com/2014/08/21/us/ferguson-missouri-protests.html,"Confrontations between protesters and law enforcement continued overnight on Tuesday in Ferguson, Mo.",,"['Eric Holder', 'protestors', 'police']",
