Website,Headline,URL,Media Type,Media Link,Alt Text,Caption Text
FOX,"Ryan goes on offense over Medicare, accuses Obama of treating program like 'piggy bank'",http://www.foxnews.com/politics/2012/08/14/ryan-defends-gop-record-on-medicare-says-party-has-plan-to-save-program/,VIDEO,https://a57.foxnews.com/video.foxnews.com/thumbnails/081412/640/360/931/524/081412_sr_ryanfull_640.jpg?ve=1&tl=1,,Exclusive: Republican vice presidential candidate sits down with Brit Hume for first solo interview since VP announcement
NYT,Battle Over Medicare Savings Intensifies Between Obama and Paul Ryan,http://www.nytimes.com/2012/08/15/health/policy/battle-over-medicare-savings-intensifies-between-obama-and-paul-ryan.html,IMAGE,https://static01.nyt.com/images/2012/08/15/us/15medicare/15medicare-articleLarge.jpg?quality=75&auto=webp&disable=upscale,,"Representative Paul D. Ryan, at a campaign stop Tuesday in Colorado, says Medicare is “a debate we want to have.”"
FOX,Purpose Behind Congressional Reading of Constitution Questioned After Amendments Are Omitted,http://www.foxnews.com/politics/purpose-behind-congressional-reading-of-constitution-questioned-after-amendments-are-omitted,IMAGE,//static.foxnews.com/foxnews.com/content/uploads/2019/08/elections-og-candidate-tracker-3.png,,
NYT,House Reading of Constitution Is Not Without Issues,https://thecaucus.blogs.nytimes.com/2011/01/06/house-reading-of-the-constitution-is-not-without-issues/,NONE,NONE,NONE,NONE
FOX,Trump announces deal to end partial government shutdown,https://www.foxnews.com/politics/trump-to-make-announcement-on-partial-government-shutdown-from-rose-garden,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,,
NYT,Trump Signs Bill Reopening Government for 3 Weeks in Surprise Retreat From Wall,https://www.nytimes.com/2019/01/25/us/politics/trump-shutdown-deal.html,VIDEO,https://static01.nyt.com/images/2019/01/26/us/politics/26dc-trump-shutdown/26dc-trump-shutdown-videoSixteenByNine3000.jpg,,President Trump said he would end the partial government shutdown for three weeks while negotiations over the border wall continue. He also indicated that he was open to declaring a national emergency or shutting down the government again if Republicans and Democrats cannot reach an agreement on wall money by the February deadline.
FOX,NRA urges states to allow more armed officers in schools,http://www.foxnews.com/politics/2013/04/02/nra-urges-states-to-allow-more-armed-officers-in-schools/,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/013aa046-nra_lapierre_122112.jpg?ve=1&tl=1?ve=1&tl=1,"FILE: Dec. 21, 2012: National Rifle Association CEO Wayne LaPierre pauses as he makes a statement during a news conference in Washington.","          FILE: Dec. 21, 2012: National Rifle Association CEO Wayne LaPierre pauses as he makes a statement during a news conference in Washington.
          (AP)"
NYT,N.R.A. Details Plan for Armed School Guards,http://www.nytimes.com/2013/04/03/us/nra-details-plan-for-armed-school-guards.html,VIDEO,https://static01.nyt.com/images/2013/04/02/us/video-tc-130402-schoolguards/video-tc-130402-schoolguards-videoSmall.jpg,,The Times’s Sheryl Gay Stolberg discusses a new proposal commissioned by the National Rifle Association to place trained guards in American schools.
FOX,Trump holds off reversing ban on elephant trophy imports,http://www.foxnews.com/politics/2017/11/17/trump-holds-off-reversing-ban-on-elephant-trophy-imports.html,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2017/11/19/931/524/694940094001_5651877902001_5651868712001-vs.jpg?ve=1&tl=1,,President tweets that the decision is on hold until conservation facts are reviewed.
NYT,"For Now, Trump to Keep Ban on Importing Elephant Trophies",https://www.nytimes.com/2017/11/17/us/politics/trump-elephant-trophy-ban.html,IMAGE,https://static01.nyt.com/images/2017/11/18/business/18dc-elephant1-sub/18dc-elephant1-sub-articleLarge.jpg?quality=75&auto=webp&disable=upscale,,"An elephant in Zimbabwe in 2012. “Put big game trophy decision on hold until such time as I review all conservation facts,” President Trump tweeted on Friday night."
